CODIGO,Categoria,Subcategoria,Descripcion,CANTIDAD,PRECIO
FAP 2219,3,3,WEGA,6,6874
FAP 2802,3,3,WEGA,17,19275
FAP 2827,3,3,WEGA,24,4868
FAP 2829,3,3,WEGA,5,10576
FAP 2831,3,3,WEGA,16,5892
FAP 2835,3,3,-,1,14552
FAP 2840,3,3,WEGA,1,15507
FAP 3233,3,3,WEGA,1,9281
FAP 3261,3,3,WEGA,1,16391
FAP 3270,3,3,WEGA,1,7984
FAP 3280,3,3,WEGA,38,14112
FAP 3285,3,3,WEGA,1,19667
FAP 3286,3,3,WEGA,1,13438
FAP 3288,3,3,WEGA,3,16062
FAP 3289,3,3,WEGA,3,5946
FAP 3602,3,3,WEGA,31,10162
FAP 4043,3,3,WEGA,3,13078
FAP 4046/1,3,3,WEGA,9,22946
FAP 4049,3,3,WEGA,5,13484
FAP 4054/3,3,3,WEGA,7,17205
FAP 4060,3,3,WEGA,1,15853
FAP 4811,3,3,WEGA,4,17205
FAP 4861,3,3,WEGA,1,25504
FAP 4865/1,3,3,WEGA,1,15638
FAP 4871,3,3,WEGA,5,10825
FAP 4872/1,3,3,WEGA,22,10646
FAP 4878/1,3,3,WEGA,1,9736
FAP 4892,3,3,WEGA,3,13231
FAP 4895,3,3,WEGA,1,19011
FAP 5218,3,3,WEGA,4,12457
FAP 5307,3,3,WEGA,1,34797
FAP 6000,3,3,WEGA,2,13961
FAP 6010,3,3,WEGA,1,15142
FAP 6012,3,3,WEGA,1,15142
FAP 6012/2,3,3,WEGA,1,14585
FAP 7007,3,3,WEGA,14,7165
FAP 7019,3,3,WEGA,27,12664
FAP 9002,3,3,WEGA,2,21498
FAP 9003,3,3,WEGA,35,5113
FAP 9012,3,3,WEGA,3,25789
FAP 9013,3,3,WEGA,1,16229
FAP 9027,3,3,WEGA,1,15466
FAP 9073,3,3,WEGA,1,44851
FAP 9110,3,3,WEGA,1,18225
FAP 9121,3,3,WEGA,35,12786
FAP 9273,3,3,WEGA,14,12457
FAP 9283,3,3,WEGA,1,21498
FAP 9284,3,3,WEGA,2,23199
FAP 9286,3,3,WEGA,1,11767
FAP 9292,3,3,WEGA,2,30977
FAP 9296,3,3,WEGA,2,12487
FAP 9299,3,3,WEGA,18,11899
JFA 0F00,3,3,WEGA,1,19994
JFA 0135,3,3,WEGA,1,12251
JFA 0137,3,3,WEGA,1,12184
JFA 0252,3,3,WEGA,1,61039
JFA 0282,3,3,WEGA,7,22062
JFA 0292/2,3,3,WEGA,4,47287
JFA 0283,3,3,WEGA,1,19332
JFA 0438,3,3,WEGA,2,23199
JFA 0602,3,3,-,3,16519
JFA 0987,3,3,WEGA,1,23199
JFA 0992/2,3,3,-,4,22546
JFA 0998,3,3,WEGA,1,15316
JFA 0K14,3,3,WEGA,1,46398
WR 192,3,3,WEGA,36,18211
WR 198,3,3,WEGA,1,29502
WR 200/3,3,3,WEGA,3,21863
WR 200/4,3,3,WEGA,1,30932
WR 245,3,3,WEGA,1,14585
WR 295,3,3,WEGA,4,26077
WR 282,3,3,WEGA,1,16072
WR 374,3,3,WEGA,2,50265
WR 376,3,3,WEGA,1,60288
WR 191,3,3,WEGA,2,29502
WR 200/8,3,3,WEGA,1,43778
FAP 9112,3,7,-,2,22946
10W40 TOTAL - 4lts ,3,7,-,13,72378
5W40 EVOLUTION - 4lts ,3,7,-,17,102715
